,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
1312,Christian Duguay,Bridgette Wilson-Sampras,ActionAdventureThriller,Rufus Sewell,Extreme Ops,Rupert Graves,Christian Duguay Bridgette Wilson-Sampras ActionAdventureThriller Rufus Sewell Rupert Graves
1313,Jean-Marie Poiré,Matt Ross,ComedyFantasySci-Fi,Bridgette Wilson-Sampras,Just Visiting,John Aylward,Jean-Marie Poiré Matt Ross ComedyFantasySci-Fi Bridgette Wilson-Sampras John Aylward
1314,Danny Boyle,Benedict Wong,AdventureSci-FiThriller,Chris Evans,Sunshine,Troy Garity,Danny Boyle Benedict Wong AdventureSci-FiThriller Chris Evans Troy Garity
1315,Brian Robbins,Lou Saliba,ComedyDrama,John Gatins,A Thousand Words,Greg Collins,Brian Robbins Lou Saliba ComedyDrama John Gatins Greg Collins
1316,Marc F. Adler,Anne Bancroft,AdventureAnimationComedyFantasyRomance,Eric Idle,Delgo,Kelly Ripa,Marc F. Adler Anne Bancroft AdventureAnimationComedyFantasyRomance Eric Idle Kelly Ripa
1317,Pierre Morel,Mark Rylance,ActionCrimeDramaMysteryThriller,Ray Winstone,The Gunman,Jasmine Trinca,Pierre Morel Mark Rylance ActionCrimeDramaMysteryThriller Ray Winstone Jasmine Trinca
1318,Geoffrey Sax,Sophie Okonedo,ActionAdventureFamilyThriller,Alex Pettyfer,Alex Rider: Operation Stormbreaker,Ashley Walters,Geoffrey Sax Sophie Okonedo ActionAdventureFamilyThriller Alex Pettyfer Ashley Walters
1319,D.J. Caruso,Aaron Yoo,DramaMysteryThriller,Sarah Roemer,Disturbia,Jose Pablo Cantillo,D.J. Caruso Aaron Yoo DramaMysteryThriller Sarah Roemer Jose Pablo Cantillo
1320,Iain Softley,Fisher Stevens,ComedyCrimeDramaThriller,Angelina Jolie Pitt,Hackers,Lorraine Bracco,Iain Softley Fisher Stevens ComedyCrimeDramaThriller Angelina Jolie Pitt Lorraine Bracco
1321,Richard Shepard,Zan Marolt,AdventureComedyDramaRomanceThrillerWar,James Brolin,The Hunting Party,Ljubomir Kerekes,Richard Shepard Zan Marolt AdventureComedyDramaRomanceThrillerWar James Brolin Ljubomir Kerekes
1322,Joel Coen,Bill Cobbs,ComedyFantasy,Jennifer Jason Leigh,The Hudsucker Proxy,John Mahoney,Joel Coen Bill Cobbs ComedyFantasy Jennifer Jason Leigh John Mahoney
1323,Peter Ho-Sun Chan,Takeshi Kaneshiro,ActionDramaHistoryRomanceWar,Jet Li,The Warlords,Andy Lau,Peter Ho-Sun Chan Takeshi Kaneshiro ActionDramaHistoryRomanceWar Jet Li Andy Lau
1324,Sergey Bodrov,Kuno Becker,DramaHistoryWar,Jay Hernandez,Nomad: The Warrior,Jason Scott Lee,Sergey Bodrov Kuno Becker DramaHistoryWar Jay Hernandez Jason Scott Lee
1325,Joon-ho Bong,Ewen Bremner,ActionDramaSci-FiThriller,Chris Evans,Snowpiercer,Kang-ho Song,Joon-ho Bong Ewen Bremner ActionDramaSci-FiThriller Chris Evans Kang-ho Song
1326,Bibo Bergeron,Bob Balaban,AdventureAnimationComedyFantasyMusicRomance,Adam Goldberg,A Monster in Paris,François Cluzet,Bibo Bergeron Bob Balaban AdventureAnimationComedyFantasyMusicRomance Adam Goldberg François Cluzet
1327,Jeff Nathanson,Glenn Morshower,Comedy,Matthew Broderick,The Last Shot,Tim Blake Nelson,Jeff Nathanson Glenn Morshower Comedy Matthew Broderick Tim Blake Nelson
1328,Alex Proyas,Bai Ling,ActionDramaFantasy,Michael Wincott,The Crow,David Patrick Kelly,Alex Proyas Bai Ling ActionDramaFantasy Michael Wincott David Patrick Kelly
1329,S.S. Rajamouli,Anushka Shetty,ActionAdventureDramaFantasyWar,Tamannaah Bhatia,Baahubali: The Beginning,Prabhas,S.S. Rajamouli Anushka Shetty ActionAdventureDramaFantasyWar Tamannaah Bhatia Prabhas
1330,Robert Schwentke,Brooklynn Proulx,DramaFantasyRomanceSci-Fi,Arliss Howard,The Time Traveler's Wife,Michelle Nolden,Robert Schwentke Brooklynn Proulx DramaFantasyRomanceSci-Fi Arliss Howard Michelle Nolden
1331,Michael Lehmann,Stephen Collins,ComedyRomance,Colin Ferguson,Because I Said So,Tom Everett Scott,Michael Lehmann Stephen Collins ComedyRomance Colin Ferguson Tom Everett Scott
1332,Rob Cohen,Vin Diesel,ActionCrimeThriller,Paul Walker,The Fast and the Furious,Jordana Brewster,Rob Cohen Vin Diesel ActionCrimeThriller Paul Walker Jordana Brewster
1333,Tim Burton,Catherine O'Hara,AnimationComedyFamilyHorrorSci-Fi,Martin Landau,Frankenweenie,Atticus Shaffer,Tim Burton Catherine O'Hara AnimationComedyFamilyHorrorSci-Fi Martin Landau Atticus Shaffer
1334,Joss Whedon,Sean Maher,ActionAdventureSci-FiThriller,Adam Baldwin,Serenity,Michael Hitchcock,Joss Whedon Sean Maher ActionAdventureSci-FiThriller Adam Baldwin Michael Hitchcock
1335,Charles S. Dutton,Charles S. Dutton,BiographyDramaRomanceSport,Omar Epps,Against the Ropes,Tim Daly,Charles S. Dutton Charles S. Dutton BiographyDramaRomanceSport Omar Epps Tim Daly
1336,Richard Lester,Robert Vaughn,ActionComedySci-Fi,Margot Kidder,Superman III,Jackie Cooper,Richard Lester Robert Vaughn ActionComedySci-Fi Margot Kidder Jackie Cooper
1337,Peter Segal,Sylvester Stallone,ComedySport,Robert De Niro,Grudge Match,Oscar Gale,Peter Segal Sylvester Stallone ComedySport Robert De Niro Oscar Gale
1338,John Woo,Tony Chiu Wai Leung,ActionAdventureDramaHistoryWar,Takeshi Kaneshiro,Red Cliff,Wei Zhao,John Woo Tony Chiu Wai Leung ActionAdventureDramaHistoryWar Takeshi Kaneshiro Wei Zhao
1339,Andy Tennant,Mary Lynn Rajskub,ComedyRomance,Ethan Embry,Sweet Home Alabama,Courtney Gains,Andy Tennant Mary Lynn Rajskub ComedyRomance Ethan Embry Courtney Gains
1340,Robert Luketic,John Michael Higgins,ComedyRomance,Gerard Butler,The Ugly Truth,Eric Winter,Robert Luketic John Michael Higgins ComedyRomance Gerard Butler Eric Winter
1341,Jonathan Lynn,Phil Hartman,Comedy,Austin Pendleton,Sgt. Bilko,Max Casella,Jonathan Lynn Phil Hartman Comedy Austin Pendleton Max Casella
1342,Robert Rodriguez,Alexa PenaVega,ActionAdventureComedyFamilySci-Fi,Steve Buscemi,Spy Kids 2: Island of Lost Dreams,Emily Osment,Robert Rodriguez Alexa PenaVega ActionAdventureComedyFamilySci-Fi Steve Buscemi Emily Osment
1343,David Carson,Alan Ruck,ActionAdventureMysterySci-FiThriller,LeVar Burton,Star Trek: Generations,Jonathan Frakes,David Carson Alan Ruck ActionAdventureMysterySci-FiThriller LeVar Burton Jonathan Frakes
1344,Kar-Wai Wong,Hye-kyo Song,ActionBiographyDrama,Tony Chiu Wai Leung,The Grandmaster,Elvis Tsui,Kar-Wai Wong Hye-kyo Song ActionBiographyDrama Tony Chiu Wai Leung Elvis Tsui
1345,Francis Lawrence,Christoph Waltz,DramaRomance,Robert Pattinson,Water for Elephants,James Frain,Francis Lawrence Christoph Waltz DramaRomance Robert Pattinson James Frain
1347,Yuefeng Song,Bianca Collins,AdventureAnimationFamilyFantasy,Blythe Auffarth,Dragon Nest: Warriors' Dawn,Jiao Xu,Yuefeng Song Bianca Collins AdventureAnimationFamilyFantasy Blythe Auffarth Jiao Xu
1348,Norman Jewison,Vincent Pastore,BiographyDramaSport,Denzel Washington,The Hurricane,Deborah Kara Unger,Norman Jewison Vincent Pastore BiographyDramaSport Denzel Washington Deborah Kara Unger
1349,Michael Apted,Jeff Kober,CrimeDramaThriller,Bill Cobbs,Enough,Billy Campbell,Michael Apted Jeff Kober CrimeDramaThriller Bill Cobbs Billy Campbell
1350,David Mirkin,Anne Bancroft,ComedyCrimeRomance,Sarah Silverman,Heartbreakers,Jeffrey Jones,David Mirkin Anne Bancroft ComedyCrimeRomance Sarah Silverman Jeffrey Jones
1351,Andy Fickman,Daniella Alonso,ActionComedyCrime,D.B. Woodside,Paul Blart: Mall Cop 2,Eduardo Verástegui,Andy Fickman Daniella Alonso ActionComedyCrime D.B. Woodside Eduardo Verástegui
1352,Luis Mandoki,Shirley Knight,DramaRomance,Sonia Braga,Angel Eyes,Kari Matchett,Luis Mandoki Shirley Knight DramaRomance Sonia Braga Kari Matchett
1353,John Pasquin,Ken Marino,ComedyDrama,Jim Belushi,Joe Somebody,Kelly Lynch,John Pasquin Ken Marino ComedyDrama Jim Belushi Kelly Lynch
1354,Roman Polanski,Frank Langella,MysteryThriller,Johnny Depp,The Ninth Gate,Lena Olin,Roman Polanski Frank Langella MysteryThriller Johnny Depp Lena Olin
1355,Michael Apted,Paul Guilfoyle,CrimeDramaMysteryThriller,J.K. Simmons,Extreme Measures,Bill Nunn,Michael Apted Paul Guilfoyle CrimeDramaMysteryThriller J.K. Simmons Bill Nunn
1356,Stephen Herek,Dagmara Dominczyk,DramaMusic,Beth Grant,Rock Star,Matthew Glave,Stephen Herek Dagmara Dominczyk DramaMusic Beth Grant Matthew Glave
1357,Lee Daniels,Gabourey Sidibe,Drama,Mo'Nique,Precious,Mariah Carey,Lee Daniels Gabourey Sidibe Drama Mo'Nique Mariah Carey
1358,Ridley Scott,Jason Marsden,AdventureDrama,Jeff Bridges,White Squall,Ethan Embry,Ridley Scott Jason Marsden AdventureDrama Jeff Bridges Ethan Embry
1359,John Carpenter,Richard Masur,HorrorMysterySci-Fi,Wilford Brimley,The Thing,David Clennon,John Carpenter Richard Masur HorrorMysterySci-Fi Wilford Brimley David Clennon
1360,David Twohy,Nolan Gerard Funk,ActionSci-FiThriller,Vin Diesel,Riddick,Bokeem Woodbine,David Twohy Nolan Gerard Funk ActionSci-FiThriller Vin Diesel Bokeem Woodbine
1361,Jeb Stuart,Claudia Stedelin,CrimeMysteryThriller,Gregory Scott Cummins,Switchback,Ted Markland,Jeb Stuart Claudia Stedelin CrimeMysteryThriller Gregory Scott Cummins Ted Markland
1362,Steve Miner,Usher Raymond,ActionAdventureDramaThrillerWestern,Tom Skerritt,Texas Rangers,Leonor Varela,Steve Miner Usher Raymond ActionAdventureDramaThrillerWestern Tom Skerritt Leonor Varela
1363,Gil Kenan,Toby Jones,AdventureFamilyFantasySci-Fi,Bill Murray,City of Ember,Harry Treadaway,Gil Kenan Toby Jones AdventureFamilyFantasySci-Fi Bill Murray Harry Treadaway
1364,Paul Thomas Anderson,Jeffrey W. Jenkins,Drama,Mike Howard,The Master,Bruce Goodchild,Paul Thomas Anderson Jeffrey W. Jenkins Drama Mike Howard Bruce Goodchild
1365,David Leland,Ryan Cartwright,AdventureComedyHistoryRomance,Hayden Christensen,Virgin Territory,David Walliams,David Leland Ryan Cartwright AdventureComedyHistoryRomance Hayden Christensen David Walliams
1366,Gary Fleder,Nicole Beharie,BiographyDramaSport,Dennis Quaid,The Express,Charles S. Dutton,Gary Fleder Nicole Beharie BiographyDramaSport Dennis Quaid Charles S. Dutton
1367,J Blakeson,Maggie Siff,ActionAdventureSci-FiThriller,Chloë Grace Moretz,The 5th Wave,Nick Robinson,J Blakeson Maggie Siff ActionAdventureSci-FiThriller Chloë Grace Moretz Nick Robinson
1368,Ryan Coogler,Phylicia Rashad,DramaSport,Sylvester Stallone,Creed,Graham McTavish,Ryan Coogler Phylicia Rashad DramaSport Sylvester Stallone Graham McTavish
1369,Ben Affleck,Jon Hamm,CrimeDramaThriller,Jeremy Renner,The Town,Owen Burke,Ben Affleck Jon Hamm CrimeDramaThriller Jeremy Renner Owen Burke
1370,Kirk Jones,Dennis Quaid,ComedyDramaRomance,Anna Kendrick,What to Expect When You're Expecting,Thomas Lennon,Kirk Jones Dennis Quaid ComedyDramaRomance Anna Kendrick Thomas Lennon
1371,Ethan Coen,Brad Pitt,ComedyDrama,J.K. Simmons,Burn After Reading,Kevin Sussman,Ethan Coen Brad Pitt ComedyDrama J.K. Simmons Kevin Sussman
1372,Jennifer Flackett,Anthony Simcoe,AdventureComedyFamilyFantasy,Gerard Butler,Nim's Island,Christopher James Baker,Jennifer Flackett Anthony Simcoe AdventureComedyFamilyFantasy Gerard Butler Christopher James Baker
1373,Ron Howard,Olivia Wilde,ActionBiographyDramaSport,Chris Hemsworth,Rush,Alexandra Maria Lara,Ron Howard Olivia Wilde ActionBiographyDramaSport Chris Hemsworth Alexandra Maria Lara
1374,Paul Thomas Anderson,Neil Flynn,Drama,Patton Oswalt,Magnolia,Jim Meskimen,Paul Thomas Anderson Neil Flynn Drama Patton Oswalt Jim Meskimen
1375,Kevin Smith,Tracy Morgan,ActionComedyCrime,Bruce Willis,Cop Out,Kevin Pollak,Kevin Smith Tracy Morgan ActionComedyCrime Bruce Willis Kevin Pollak
1376,Christian Ditter,Damon Wayans Jr.,ComedyRomance,Alison Brie,How to Be Single,Nicholas Braun,Christian Ditter Damon Wayans Jr. ComedyRomance Alison Brie Nicholas Braun
1377,Charles Martin Smith,Michael Roark,DramaFamily,Morgan Freeman,Dolphin Tale,Harry Connick Jr.,Charles Martin Smith Michael Roark DramaFamily Morgan Freeman Harry Connick Jr.
1378,Catherine Hardwicke,Taylor Lautner,DramaFantasyRomance,Kristen Stewart,Twilight,Anna Kendrick,Catherine Hardwicke Taylor Lautner DramaFantasyRomance Kristen Stewart Anna Kendrick
1379,Nick Cassavetes,Laura Harring,CrimeDramaThriller,Denzel Washington,John Q,Anne Heche,Nick Cassavetes Laura Harring CrimeDramaThriller Denzel Washington Anne Heche
1380,Les Mayfield,Dave Chappelle,ActionComedyCrimeThriller,Peter Greene,Blue Streak,Tamala Jones,Les Mayfield Dave Chappelle ActionComedyCrimeThriller Peter Greene Tamala Jones
1381,Rawson Marshall Thurber,Molly C. Quinn,ComedyCrime,Laura-Leigh,We're the Millers,Thomas Lennon,Rawson Marshall Thurber Molly C. Quinn ComedyCrime Laura-Leigh Thomas Lennon
1382,Fedor Bondarchuk,Fedor Bondarchuk,ActionAdventureSci-Fi,Yuliya Snigir,Obitaemyy ostrov,Aleksey Serebryakov,Fedor Bondarchuk Fedor Bondarchuk ActionAdventureSci-Fi Yuliya Snigir Aleksey Serebryakov
1383,Jonathan Mostow,M.C. Gainey,ActionCrimeDramaMysteryThriller,Kathleen Quinlan,Breakdown,J.T. Walsh,Jonathan Mostow M.C. Gainey ActionCrimeDramaMysteryThriller Kathleen Quinlan J.T. Walsh
1384,Irvin Kershner,Klaus Maria Brandauer,ActionAdventureThriller,Bernie Casey,Never Say Never Again,Barbara Carrera,Irvin Kershner Klaus Maria Brandauer ActionAdventureThriller Bernie Casey Barbara Carrera
1385,Steve Pink,Collette Wolfe,ComedySci-Fi,Charlie McDermott,Hot Tub Time Machine,Crystal Lowe,Steve Pink Collette Wolfe ComedySci-Fi Charlie McDermott Crystal Lowe
1386,Charles Martin Smith,Taylor Blackwell,DramaFamily,Morgan Freeman,Dolphin Tale 2,Harry Connick Jr.,Charles Martin Smith Taylor Blackwell DramaFamily Morgan Freeman Harry Connick Jr.
1387,John Frankenheimer,James Frain,ActionAdventureCrimeDramaFamilyFantasyRomanceThriller,Charlize Theron,Reindeer Games,Clarence Williams III,John Frankenheimer James Frain ActionAdventureCrimeDramaFamilyFantasyRomanceThriller Charlize Theron Clarence Williams III
1388,F. Gary Gray,Jeff Kober,ActionCrimeDramaThriller,Vin Diesel,A Man Apart,Larenz Tate,F. Gary Gray Jeff Kober ActionCrimeDramaThriller Vin Diesel Larenz Tate
1389,Cameron Crowe,Bradley Cooper,ComedyDramaRomance,Emma Stone,Aloha,Bill Murray,Cameron Crowe Bradley Cooper ComedyDramaRomance Emma Stone Bill Murray
1390,Rob Reiner,Virginia Madsen,DramaHistory,Alexa PenaVega,Ghosts of Mississippi,Craig T. Nelson,Rob Reiner Virginia Madsen DramaHistory Alexa PenaVega Craig T. Nelson
1391,Scott Hicks,Reeve Carney,DramaMysteryRomanceThriller,Rick Yune,Snow Falling on Cedars,Daniel von Bargen,Scott Hicks Reeve Carney DramaMysteryRomanceThriller Rick Yune Daniel von Bargen
1392,Mikael Håfström,Colin O'Donoghue,DramaHorrorMysteryThriller,Anthony Hopkins,The Rite,Toby Jones,Mikael Håfström Colin O'Donoghue DramaHorrorMysteryThriller Anthony Hopkins Toby Jones
1393,Andrew Niccol,Xander Berkeley,DramaSci-FiThriller,Blair Underwood,Gattaca,Mason Gamble,Andrew Niccol Xander Berkeley DramaSci-FiThriller Blair Underwood Mason Gamble
1394,Andrew Bergman,Nathan Lane,BiographyComedyRomance,Stockard Channing,Isn't She Great,John Larroquette,Andrew Bergman Nathan Lane BiographyComedyRomance Stockard Channing John Larroquette
1395,Kirk De Micco,Kenan Thompson,AdventureAnimationComedyFamilySci-Fi,Cheryl Hines,Space Chimps,Omid Abtahi,Kirk De Micco Kenan Thompson AdventureAnimationComedyFamilySci-Fi Cheryl Hines Omid Abtahi
1396,Chris Rock,Dylan Baker,Comedy,Bernie Mac,Head of State,Tracy Morgan,Chris Rock Dylan Baker Comedy Bernie Mac Tracy Morgan
1397,Todd Phillips,Rob Riggle,Comedy,Bradley Cooper,The Hangover,Mike Epps,Todd Phillips Rob Riggle Comedy Bradley Cooper Mike Epps
1398,Wilson Yip,Lynn Hung,ActionBiographyDramaHistory,Mike Tyson,Ip Man 3,Kwok-Kwan Chan,Wilson Yip Lynn Hung ActionBiographyDramaHistory Mike Tyson Kwok-Kwan Chan
1399,Jay Roach,Verne Troyer,ActionAdventureComedyCrime,Muse Watson,Austin Powers: The Spy Who Shagged Me,Robert Wagner,Jay Roach Verne Troyer ActionAdventureComedyCrime Muse Watson Robert Wagner
1400,Tim Burton,Jack Palance,ActionAdventure,Michael Gough,Batman,William Hootkins,Tim Burton Jack Palance ActionAdventure Michael Gough William Hootkins
1401,Roland Joffé,Dougray Scott,BiographyDramaWar,Jordi Mollà,There Be Dragons,Lily Cole,Roland Joffé Dougray Scott BiographyDramaWar Jordi Mollà Lily Cole
1402,Richard Donner,Nick Chinlund,ActionCrimeThriller,Rene Russo,Lethal Weapon 3,Stuart Wilson,Richard Donner Nick Chinlund ActionCrimeThriller Rene Russo Stuart Wilson
1403,John Lee Hancock,Quinton Aaron,BiographyDramaSport,Catherine Dyer,The Blind Side,Kim Dickens,John Lee Hancock Quinton Aaron BiographyDramaSport Catherine Dyer Kim Dickens
1405,Robert Rodriguez,Cheech Marin,ActionAdventureComedyFamilySci-Fi,Alexa PenaVega,Spy Kids,Daryl Sabara,Robert Rodriguez Cheech Marin ActionAdventureComedyFamilySci-Fi Alexa PenaVega Daryl Sabara
1406,Seth Gordon,Lindsay Sloane,ComedyCrime,Kevin Spacey,Horrible Bosses,Reginald Ballard,Seth Gordon Lindsay Sloane ComedyCrime Kevin Spacey Reginald Ballard
1407,Ethan Coen,Jeff Bridges,AdventureDramaWestern,Matt Damon,True Grit,Bruce Green,Ethan Coen Jeff Bridges AdventureDramaWestern Matt Damon Bruce Green
1408,David Frankel,Anne Hathaway,ComedyDramaRomance,Meryl Streep,The Devil Wears Prada,Rebecca Mader,David Frankel Anne Hathaway ComedyDramaRomance Meryl Streep Rebecca Mader
1409,Robert Wise,Nichelle Nichols,AdventureMysterySci-Fi,Leonard Nimoy,Star Trek: The Motion Picture,Walter Koenig,Robert Wise Nichelle Nichols AdventureMysterySci-Fi Leonard Nimoy Walter Koenig
1410,Seth Gordon,Eric Stonestreet,ComedyCrime,Jon Favreau,Identity Thief,T.I.,Seth Gordon Eric Stonestreet ComedyCrime Jon Favreau T.I.
1411,Martin Scorsese,Robert Mitchum,CrimeThriller,Robert De Niro,Cape Fear,Joe Don Baker,Martin Scorsese Robert Mitchum CrimeThriller Robert De Niro Joe Don Baker
1412,Robert Luketic,Jim Sturgess,CrimeDramaThriller,Kevin Spacey,21,Josh Gad,Robert Luketic Jim Sturgess CrimeDramaThriller Kevin Spacey Josh Gad
1413,Judd Apatow,Randall Park,ComedyRomance,Amy Schumer,Trainwreck,Josh Segarra,Judd Apatow Randall Park ComedyRomance Amy Schumer Josh Segarra
1414,Kevin Rodney Sullivan,Nicole Sullivan,ComedyRomance,Bernie Mac,Guess Who,Sherri Shepherd,Kevin Rodney Sullivan Nicole Sullivan ComedyRomance Bernie Mac Sherri Shepherd
1415,Anthony Minghella,Kristin Scott Thomas,DramaRomanceWar,Colin Firth,The English Patient,Jürgen Prochnow,Anthony Minghella Kristin Scott Thomas DramaRomanceWar Colin Firth Jürgen Prochnow
1416,Curtis Hanson,Matt McCoy,CrimeDramaMysteryThriller,Kevin Spacey,L.A. Confidential,Paul Guilfoyle,Curtis Hanson Matt McCoy CrimeDramaMysteryThriller Kevin Spacey Paul Guilfoyle
1417,Mike Mitchell,Kelly Preston,AdventureComedyFamilySci-Fi,Michael Angarano,Sky High,Nicholas Braun,Mike Mitchell Kelly Preston AdventureComedyFamilySci-Fi Michael Angarano Nicholas Braun
1418,Frank Oz,Wilford Brimley,Comedy,Tom Selleck,In & Out,Lauren Ambrose,Frank Oz Wilford Brimley Comedy Tom Selleck Lauren Ambrose
1419,Roger Donaldson,Marg Helgenberger,ActionHorrorSci-FiThriller,Natasha Henstridge,Species,Jordan Lund,Roger Donaldson Marg Helgenberger ActionHorrorSci-FiThriller Natasha Henstridge Jordan Lund
1420,Wes Craven,Lin Shaye,Horror,Johnny Depp,A Nightmare on Elm Street,Amanda Wyss,Wes Craven Lin Shaye Horror Johnny Depp Amanda Wyss
1421,Tarsem Singh,Jake Weber,HorrorSci-FiThriller,Dylan Baker,The Cell,James Gammon,Tarsem Singh Jake Weber HorrorSci-FiThriller Dylan Baker James Gammon
1422,Randall Wallace,Anne Parillaud,ActionAdventure,Leonardo DiCaprio,The Man in the Iron Mask,Judith Godrèche,Randall Wallace Anne Parillaud ActionAdventure Leonardo DiCaprio Judith Godrèche
1423,Randall Wallace,Kevin Connolly,BiographyDramaFamilyHistorySport,Scott Glenn,Secretariat,Dylan Walsh,Randall Wallace Kevin Connolly BiographyDramaFamilyHistorySport Scott Glenn Dylan Walsh
1424,Kevin Munroe,Sarah Michelle Gellar,ActionAdventureAnimationComedyFamilyFantasySci-Fi,Chris Evans,TMNT,Mako,Kevin Munroe Sarah Michelle Gellar ActionAdventureAnimationComedyFamilyFantasySci-Fi Chris Evans Mako
1425,Michael Tollin,Riley Smith,BiographyDramaSport,Alfre Woodard,Radio,Debra Winger,Michael Tollin Riley Smith BiographyDramaSport Alfre Woodard Debra Winger
1426,Will Gluck,Justin Timberlake,ComedyRomance,Mila Kunis,Friends with Benefits,Masi Oka,Will Gluck Justin Timberlake ComedyRomance Mila Kunis Masi Oka
1427,Nicholas Stoller,Ike Barinholtz,Comedy,Chloë Grace Moretz,Neighbors 2: Sorority Rising,Kiersey Clemons,Nicholas Stoller Ike Barinholtz Comedy Chloë Grace Moretz Kiersey Clemons
1428,John Lee Hancock,Ruth Wilson,BiographyComedyDramaHistoryMusic,Tom Hanks,Saving Mr. Banks,B.J. Novak,John Lee Hancock Ruth Wilson BiographyComedyDramaHistoryMusic Tom Hanks B.J. Novak
1429,Spike Lee,Delroy Lindo,BiographyDramaHistoryRomance,Denzel Washington,Malcolm X,Al Freeman Jr.,Spike Lee Delroy Lindo BiographyDramaHistoryRomance Denzel Washington Al Freeman Jr.
1430,Judd Apatow,Maude Apatow,Comedy,Charlyne Yi,This Is 40,Mackenzie Aladjem,Judd Apatow Maude Apatow Comedy Charlyne Yi Mackenzie Aladjem
1431,Walt Becker,Bernie Mac,ComedyFamily,Robin Williams,Old Dogs,Ann-Margret,Walt Becker Bernie Mac ComedyFamily Robin Williams Ann-Margret
1432,Patrick Tatopoulos,Kevin Grevioux,ActionAdventureFantasySci-FiThriller,Craig Parker,Underworld: Rise of the Lycans,Steven Mackintosh,Patrick Tatopoulos Kevin Grevioux ActionAdventureFantasySci-FiThriller Craig Parker Steven Mackintosh
1433,Ken Kwapis,Christine Taylor,ComedyRomance,Robin Williams,License to Wed,Mindy Kaling,Ken Kwapis Christine Taylor ComedyRomance Robin Williams Mindy Kaling
1434,Dennis Dugan,Jon Heder,ComedyRomanceSport,Jon Lovitz,The Benchwarmers,Tim Meadows,Dennis Dugan Jon Heder ComedyRomanceSport Jon Lovitz Tim Meadows
1435,Gary David Goldberg,Victor Webster,ComedyRomance,Stockard Channing,Must Love Dogs,Elizabeth Perkins,Gary David Goldberg Victor Webster ComedyRomance Stockard Channing Elizabeth Perkins
1436,Mike Newell,Al Pacino,BiographyCrimeDrama,Johnny Depp,Donnie Brasco,Anne Heche,Mike Newell Al Pacino BiographyCrimeDrama Johnny Depp Anne Heche
1437,Paul W.S. Anderson,Jaymes Butler,ActionHorrorSci-Fi,Milla Jovovich,Resident Evil,Colin Salmon,Paul W.S. Anderson Jaymes Butler ActionHorrorSci-Fi Milla Jovovich Colin Salmon
1438,Tobe Hooper,Zelda Rubinstein,FantasyHorror,Heather O'Rourke,Poltergeist,Craig T. Nelson,Tobe Hooper Zelda Rubinstein FantasyHorror Heather O'Rourke Craig T. Nelson
1439,Ethan Coen,Tom Hanks,ComedyCrimeThriller,J.K. Simmons,The Ladykillers,Stephen Root,Ethan Coen Tom Hanks ComedyCrimeThriller J.K. Simmons Stephen Root
1440,John Moore,Beau Bridges,ActionCrimeDramaMysteryThriller,Mila Kunis,Max Payne,Jamie Hector,John Moore Beau Bridges ActionCrimeDramaMysteryThriller Mila Kunis Jamie Hector
1441,Andrew Niccol,Olivia Wilde,ActionSci-FiThriller,Matt Bomer,In Time,Justin Timberlake,Andrew Niccol Olivia Wilde ActionSci-FiThriller Matt Bomer Justin Timberlake
1442,Alan Poul,Noureen DeWulf,ComedyRomance,Danneel Ackles,The Back-up Plan,Tom Bosley,Alan Poul Noureen DeWulf ComedyRomance Danneel Ackles Tom Bosley
1443,Luke Greenfield,Steve Howey,ComedyDramaRomance,Ashley Williams,Something Borrowed,Kirsten Day,Luke Greenfield Steve Howey ComedyDramaRomance Ashley Williams Kirsten Day
1445,Gil Junger,Marsha Thomason,AdventureComedyFantasy,Tom Wilkinson,Black Knight,Vincent Regan,Gil Junger Marsha Thomason AdventureComedyFantasy Tom Wilkinson Vincent Regan
1446,Michael Ritchie,Vic Morrow,ComedyDramaFamilySport,Tatum O'Neal,The Bad News Bears,Joyce Van Patten,Michael Ritchie Vic Morrow ComedyDramaFamilySport Tatum O'Neal Joyce Van Patten
1447,Steven E. de Souza,Raul Julia,ActionAdventureComedyThriller,Ming-Na Wen,Street Fighter,Kylie Minogue,Steven E. de Souza Raul Julia ActionAdventureComedyThriller Ming-Na Wen Kylie Minogue
1448,Roman Polanski,Frank Finlay,BiographyDramaWar,Emilia Fox,The Pianist,Ed Stoppard,Roman Polanski Frank Finlay BiographyDramaWar Emilia Fox Ed Stoppard
1449,Albert Hughes,Jason Flemyng,HorrorMysteryThriller,Johnny Depp,From Hell,Ian Richardson,Albert Hughes Jason Flemyng HorrorMysteryThriller Johnny Depp Ian Richardson
1450,Catherine Hardwicke,Hiam Abbass,DramaFamilyFantasy,Keisha Castle-Hughes,The Nativity Story,Shaun Toub,Catherine Hardwicke Hiam Abbass DramaFamilyFantasy Keisha Castle-Hughes Shaun Toub
1451,Jaume Collet-Serra,Paris Hilton,Horror,Robert Ri'chard,House of Wax,Brian Van Holt,Jaume Collet-Serra Paris Hilton Horror Robert Ri'chard Brian Van Holt
1452,Mike Nichols,Julia Roberts,DramaRomance,Natalie Portman,Closer,Colin Stinton,Mike Nichols Julia Roberts DramaRomance Natalie Portman Colin Stinton
1453,Clint Eastwood,Naomi Watts,BiographyCrimeDrama,Leonardo DiCaprio,J. Edgar,Kaitlyn Dever,Clint Eastwood Naomi Watts BiographyCrimeDrama Leonardo DiCaprio Kaitlyn Dever
